stato0,stato1,profit1,profit2,profit3,price_chosen
0.0,8.0,152019.0,-2324664.0,300000.0,523.0380261533994
0.0,9.0,406065.0,-3251770.0,299999.9999999999,378.9995782104062
2.0,5.0,-332076.0,-1383780.0,96855.88372426853,475.74734490803644
9.0,8.0,-3420240.0,-2561220.0,-1120943.0619872855,705.5328013839551
7.0,8.0,-536792.0,-2065425.0,300000.0,317.5037515805274
2.0,2.0,-236596.0,-642672.0,232443.8770230587,475.74734490803644
9.0,0.0,-3433927.0,195200.0,300000.0,317.5037515805274
6.0,4.0,-1222362.0,-372994.0,299999.9999999999,378.9995782104062
7.0,6.0,-2429160.0,-1237738.0,300000.0,86.80751886403931
0.0,8.0,557442.0,-3224820.0,300000.0,523.0380261533994
8.0,8.0,-2423015.0,-3208271.0,300000.0,317.5037515805274
4.0,0.0,-785904.0,475524.0,258134.23364809272,475.74734490803644
8.0,8.0,-1558015.0,-2452530.0,300000.0,317.5037515805274
6.0,5.0,-1412892.0,-804262.0,266965.2716727336,429.0224458086538
0.0,0.0,142224.0,100443.0,300000.0,523.0380261533994
9.0,1.0,-3263469.0,209938.0,300000.0,523.0380261533994
3.0,8.0,-551379.0,-2385655.0,-701168.1376600568,632.0505919571066
9.0,9.0,-3228515.0,-4021328.0,300000.0,429.0224458086538
6.0,2.0,-1571824.0,-668674.0,300000.0,475.74734490803644
4.0,0.0,-242210.0,191092.0,271232.9085615631,523.0380261533994
6.0,0.0,-2027430.0,218862.0,300000.0,429.0224458086538
8.0,4.0,-2121987.0,-1793692.0,257633.9198815748,523.0380261533994
5.0,4.0,-1310104.0,-752332.0,299999.9999999999,378.9995782104062
0.0,9.0,523380.0,-2525988.0,-28780.878019279568,573.7886178346938
6.0,3.0,-492138.0,-864954.0,300000.0,317.5037515805274
8.0,8.0,-2747820.0,-2887397.0,300000.0,317.5037515805274
9.0,3.0,-2304507.0,-547629.0,300000.0,429.0224458086538
0.0,7.0,417040.0,-2262124.0,300000.0,475.74734490803644
0.0,7.0,362526.0,-1130531.0,300000.0,86.80751886403931
0.0,8.0,276482.0,-2713261.0,300000.0,475.74734490803644
9.0,5.0,-3246161.0,-1077395.0,-192884.422720002,573.7886178346938
6.0,3.0,-996608.0,-619084.0,300000.0,317.5037515805274
8.0,5.0,-2159635.0,-678574.0,300000.0,86.80751886403931
2.0,4.0,-421187.0,-1448220.0,300000.0,475.74734490803644
8.0,9.0,-2448029.0,-2703582.0,299999.9999999999,378.9995782104062
9.0,0.0,-3770653.0,352048.0,300000.0,317.5037515805274
7.0,8.0,-513364.0,-2519288.0,300000.0,317.5037515805274
4.0,7.0,-1133990.0,-1625799.0,300000.0,429.0224458086538
5.0,0.0,-1684188.0,563394.0,300000.0,475.74734490803644
0.0,1.0,159332.0,525875.0,300000.0,86.80751886403931
0.0,9.0,282218.0,-1919224.0,300000.0,523.0380261533994
4.0,8.0,-605139.0,-2569844.0,300000.0,86.80751886403931
1.0,8.0,528165.0,-1267080.0,300000.0,86.80751886403931
9.0,0.0,-3863923.0,187110.0,-1080727.6923084003,705.5328013839551
8.0,8.0,-1930966.0,-1404638.0,300000.0,317.5037515805274
5.0,0.0,-160776.0,452681.0,300000.0,86.80751886403931
5.0,8.0,-745768.0,-3601584.0,-2080900.7338073775,817.3363315507647
8.0,1.0,-1726248.0,166732.0,-90176.2601275919,573.7886178346938
8.0,9.0,-1372024.0,-1905115.0,299999.9999999999,378.9995782104062
7.0,8.0,-1365431.0,-2978825.0,300000.0,317.5037515805274
6.0,7.0,-1225883.0,-2597516.0,300000.0,86.80751886403931
2.0,4.0,-351531.0,-1016550.0,163936.2593563015,475.74734490803644
9.0,1.0,-2018272.0,43476.0,300000.0,523.0380261533994
6.0,5.0,-508218.0,-1355993.0,300000.0,429.0224458086538
7.0,0.0,-2099360.0,501585.0,-2055563.307529304,817.3363315507647
5.0,2.0,-603458.0,-76169.0,69947.25602628337,378.9995782104062
6.0,5.0,-429301.0,-1192932.0,300000.0,429.0224458086538
1.0,1.0,-41836.0,-363843.0,-105877.50829503778,523.0380261533994
4.0,7.0,-50847.0,-2937330.0,282839.10216765385,429.0224458086538
8.0,7.0,-1669127.0,-2050920.0,299999.9999999999,378.9995782104062
4.0,4.0,-510398.0,-1211043.0,-1265589.316277753,632.0505919571066
8.0,2.0,-1334703.0,-787003.0,300000.0,429.0224458086538
0.0,9.0,605780.0,-3286984.0,300000.0,523.0380261533994
2.0,5.0,-734707.0,-1383600.0,41669.19171493617,475.74734490803644
7.0,3.0,-1723244.0,-1475244.0,105419.33593261312,475.74734490803644
2.0,7.0,-511418.0,-1763895.0,300000.0,429.0224458086538
6.0,0.0,-698950.0,211526.0,300000.0,429.0224458086538
2.0,3.0,-153355.0,-904045.0,300000.0,475.74734490803644
0.0,0.0,239394.0,366438.0,300000.0,523.0380261533994
0.0,0.0,141936.0,219240.0,300000.0,475.74734490803644
5.0,8.0,-1295924.0,-1706603.0,225783.4141943464,475.74734490803644
8.0,8.0,-957720.0,-1703344.0,300000.0,317.5037515805274
9.0,2.0,-2400657.0,10150.0,299999.9999999999,378.9995782104062
8.0,0.0,-1932692.0,310050.0,300000.0,475.74734490803644
1.0,1.0,-320957.0,-524896.0,300000.0,429.0224458086538
2.0,9.0,146722.0,-3822544.0,300000.0,317.5037515805274
7.0,5.0,-2001994.0,-1241565.0,300000.0,86.80751886403931
8.0,0.0,-2583610.0,509067.0,-133210.40646519396,573.7886178346938
8.0,9.0,-2871844.0,-3794528.0,299999.9999999999,378.9995782104062
0.0,7.0,238347.0,-1631305.0,299999.9999999999,378.9995782104062
3.0,6.0,376440.0,-1605560.0,-1398922.9857325638,705.5328013839551
0.0,1.0,163769.0,-573226.0,300000.0,475.74734490803644
8.0,3.0,-1876902.0,-1204184.0,300000.0,475.74734490803644
0.0,0.0,188992.0,348984.0,300000.0,475.74734490803644
9.0,5.0,-3255960.0,-1798455.0,-299609.1056372551,573.7886178346938
8.0,7.0,-3086543.0,-1991952.0,299999.9999999999,378.9995782104062
6.0,3.0,-571349.0,-100536.0,300000.0,317.5037515805274
5.0,4.0,-506914.0,-1028088.0,299999.9999999999,378.9995782104062
4.0,8.0,83546.0,-1994758.0,300000.0,86.80751886403931
0.0,6.0,491799.0,-543423.0,299999.9999999999,378.9995782104062
8.0,4.0,-2767296.0,-1599952.0,26451.112321772147,523.0380261533994
8.0,0.0,-2056420.0,399758.0,300000.0,429.0224458086538
2.0,1.0,-346105.0,-82803.0,300000.0,317.5037515805274
8.0,1.0,-3590638.0,292194.0,-50584.845496997936,573.7886178346938
6.0,7.0,-856773.0,-2349862.0,300000.0,86.80751886403931
3.0,0.0,400079.0,369350.0,-2034312.562908984,817.3363315507647
9.0,2.0,-3615957.0,-590576.0,299999.9999999999,378.9995782104062
4.0,0.0,-621766.0,480928.0,-56188.89581046486,523.0380261533994
3.0,1.0,-88338.0,248466.0,259994.52730085352,317.5037515805274
7.0,2.0,-1232937.0,334422.0,-2014696.4909517656,817.3363315507647
2.0,7.0,-588884.0,-1464907.0,300000.0,429.0224458086538
0.0,5.0,4440.0,-1079731.0,300000.0,86.80751886403931
9.0,3.0,-2436553.0,119400.0,247659.2616113443,429.0224458086538
8.0,8.0,-3041738.0,-3010697.0,300000.0,317.5037515805274
3.0,4.0,33454.0,-613196.0,-1566134.259660561,705.5328013839551
0.0,6.0,575522.0,-1072652.0,-1501225.2419332373,705.5328013839551
8.0,0.0,-1115214.0,311277.0,300000.0,475.74734490803644
4.0,6.0,-661440.0,-1068492.0,300000.0,86.80751886403931
2.0,8.0,53144.0,-2326713.0,300000.0,475.74734490803644
7.0,3.0,-955828.0,-723606.0,268124.9278911615,475.74734490803644
0.0,4.0,98381.0,-853272.0,299999.9999999999,378.9995782104062
0.0,1.0,426305.0,170004.0,300000.0,475.74734490803644
0.0,6.0,247784.0,-1642074.0,-977374.2463453123,632.0505919571066
0.0,0.0,235265.0,204050.0,300000.0,523.0380261533994
4.0,0.0,-893143.0,-231264.0,157993.57043733564,429.0224458086538
3.0,8.0,-372292.0,-2177198.0,299999.9999999999,378.9995782104062
7.0,0.0,-1267164.0,221664.0,241419.74107081932,523.0380261533994
6.0,3.0,-1383043.0,115722.0,300000.0,317.5037515805274
3.0,9.0,219660.0,-1836710.0,-1163275.030070323,705.5328013839551
9.0,1.0,-3432877.0,-480720.0,300000.0,523.0380261533994
0.0,9.0,221815.0,-2811858.0,-1080727.6923084003,705.5328013839551
2.0,6.0,193632.0,-703183.0,300000.0,86.80751886403931
1.0,2.0,-112186.0,495737.0,148021.16913762712,378.9995782104062
6.0,8.0,-869238.0,-2506494.0,300000.0,317.5037515805274
0.0,3.0,336552.0,282744.0,6944.037291173125,317.5037515805274
3.0,8.0,215043.0,-2542856.0,79422.24548154359,378.9995782104062
0.0,9.0,208350.0,-2001761.0,-1755600.8738501733,817.3363315507647
0.0,7.0,297192.0,-1519389.0,299999.9999999999,378.9995782104062
0.0,6.0,506456.0,-1822148.0,-172801.8210957877,573.7886178346938
8.0,9.0,-1291961.0,-3429201.0,299999.9999999999,378.9995782104062
0.0,0.0,650799.0,84660.0,300000.0,523.0380261533994
7.0,2.0,-2462986.0,532169.0,-1444077.085021137,705.5328013839551
0.0,8.0,413438.0,-2189514.0,300000.0,475.74734490803644
2.0,3.0,-536228.0,-1086785.0,-28741.415331453318,475.74734490803644
5.0,8.0,-871056.0,-1575099.0,168217.98546047392,475.74734490803644
8.0,9.0,-1865348.0,-1888735.0,299999.9999999999,378.9995782104062
8.0,9.0,-2639236.0,-1825382.0,299999.9999999999,378.9995782104062
8.0,8.0,-3480944.0,-2167802.0,300000.0,317.5037515805274
0.0,7.0,187220.0,-483475.0,299999.9999999999,378.9995782104062
0.0,1.0,278068.0,-256816.0,300000.0,523.0380261533994
0.0,7.0,184786.0,-1076420.0,299999.9999999999,378.9995782104062
0.0,1.0,40414.0,-749905.0,300000.0,523.0380261533994
9.0,8.0,-3413693.0,-2944324.0,-1116004.332377598,705.5328013839551
7.0,4.0,-1596376.0,-771420.0,300000.0,317.5037515805274
0.0,5.0,639045.0,-742974.0,300000.0,86.80751886403931
8.0,5.0,-3129156.0,-887703.0,300000.0,86.80751886403931
8.0,7.0,-1581055.0,-1615396.0,299999.9999999999,378.9995782104062
0.0,0.0,424460.0,221440.0,300000.0,475.74734490803644
9.0,8.0,-2772960.0,-1648845.0,-1187968.6781187612,705.5328013839551
6.0,6.0,-1395450.0,-1887608.0,-299609.1056372551,573.7886178346938
4.0,7.0,-480870.0,-2423250.0,300000.0,429.0224458086538
3.0,1.0,-620729.0,121860.0,300000.0,317.5037515805274
0.0,7.0,182996.0,-591818.0,299999.9999999999,378.9995782104062
8.0,5.0,-2982806.0,-704550.0,300000.0,86.80751886403931
3.0,5.0,-665676.0,-605808.0,300000.0,86.80751886403931
7.0,1.0,-2178817.0,187978.0,300000.0,429.0224458086538
0.0,8.0,508372.0,-1740703.0,-2030225.8812512301,817.3363315507647
5.0,9.0,-1571396.0,-3237880.0,-797239.827637537,632.0505919571066
3.0,8.0,-208089.0,-1874857.0,202611.90480143554,429.0224458086538
0.0,1.0,256275.0,-192757.0,176039.98780164449,523.0380261533994
7.0,0.0,-1356649.0,330000.0,278555.44092771085,523.0380261533994
7.0,6.0,-2247164.0,-738898.0,300000.0,86.80751886403931
7.0,0.0,-1816653.0,644448.0,-540627.2873029518,632.0505919571066
9.0,7.0,-3384467.0,-1974666.0,-128046.30890468159,573.7886178346938
5.0,6.0,-950072.0,-768426.0,114934.28283077385,475.74734490803644
0.0,2.0,-37005.0,101475.0,-173375.60971362237,573.7886178346938
7.0,9.0,-1590375.0,-2281288.0,300000.0,475.74734490803644
3.0,9.0,18764.0,-3021412.0,300000.0,429.0224458086538
7.0,3.0,-1695342.0,-1041020.0,300000.0,475.74734490803644
6.0,2.0,-826231.0,-1320220.0,300000.0,475.74734490803644
7.0,1.0,-1395755.0,222322.0,300000.0,429.0224458086538
8.0,4.0,-2638838.0,-988611.0,204284.04121392802,523.0380261533994
8.0,1.0,-2315121.0,-443823.0,-126898.73166901222,573.7886178346938
9.0,0.0,-3338419.0,519776.0,300000.0,86.80751886403931
8.0,2.0,-2085828.0,-508966.0,300000.0,429.0224458086538
4.0,7.0,-1356864.0,-2492616.0,300000.0,429.0224458086538
6.0,0.0,-1503684.0,496318.0,300000.0,429.0224458086538
3.0,2.0,-201223.0,-42834.0,299999.9999999999,378.9995782104062
4.0,3.0,-595592.0,-1142697.0,300000.0,317.5037515805274
6.0,3.0,-1288806.0,-527149.0,300000.0,317.5037515805274
1.0,1.0,-636819.0,60729.0,300000.0,429.0224458086538
4.0,2.0,-1365214.0,-47247.0,-915433.2883335159,632.0505919571066
6.0,5.0,-1336689.0,-1750732.0,300000.0,429.0224458086538
0.0,7.0,205087.0,-1037133.0,299999.9999999999,378.9995782104062
3.0,1.0,437580.0,282470.0,-87672.080679824,317.5037515805274
8.0,1.0,-2195031.0,391755.0,-163621.20321043255,573.7886178346938
5.0,7.0,-824269.0,-1592754.0,-622078.308860353,573.7886178346938
3.0,9.0,-769035.0,-1691045.0,300000.0,429.0224458086538
4.0,8.0,-589984.0,-1598080.0,300000.0,86.80751886403931
0.0,3.0,-106064.0,-182521.0,-145259.9674397225,573.7886178346938
6.0,5.0,-633488.0,-1484685.0,300000.0,429.0224458086538
6.0,8.0,-1140861.0,-2731059.0,300000.0,317.5037515805274
9.0,7.0,-2441744.0,-1893749.0,-233623.41458626534,573.7886178346938
9.0,9.0,-1780694.0,-1796520.0,300000.0,429.0224458086538
9.0,5.0,-1734417.0,-1997499.0,-242804.03247162048,573.7886178346938
6.0,9.0,-1912191.0,-2401040.0,-423547.4470895489,573.7886178346938
7.0,0.0,-2088083.0,303024.0,300000.0,429.0224458086538
1.0,8.0,355076.0,-1648623.0,-60913.04061802244,573.7886178346938
6.0,4.0,-1269440.0,-1137444.0,239739.06706454547,378.9995782104062
5.0,0.0,-591072.0,280214.0,257931.04681864486,378.9995782104062
8.0,4.0,-2588936.0,-1607321.0,142042.51610167348,523.0380261533994
7.0,9.0,-1495741.0,-2925217.0,300000.0,475.74734490803644
9.0,9.0,-1956690.0,-2508855.0,300000.0,429.0224458086538
9.0,8.0,-3958131.0,-2884266.0,-1118826.4635831336,705.5328013839551
9.0,0.0,-1436598.0,423360.0,300000.0,317.5037515805274
9.0,0.0,-2309641.0,314211.0,-1132937.119610813,705.5328013839551
6.0,3.0,-1148291.0,-106148.0,300000.0,317.5037515805274
8.0,9.0,-1590349.0,-2658252.0,299999.9999999999,378.9995782104062
7.0,9.0,-1435646.0,-2986242.0,300000.0,475.74734490803644
8.0,5.0,-1762862.0,-1125690.0,300000.0,86.80751886403931
9.0,7.0,-2622928.0,-2603008.0,-165342.56906393683,573.7886178346938
0.0,7.0,136263.0,-162396.0,299999.9999999999,378.9995782104062
9.0,5.0,-3210933.0,-571936.0,-242230.2438537858,573.7886178346938
8.0,2.0,-2526512.0,-706650.0,300000.0,429.0224458086538
5.0,0.0,237150.0,-105460.0,209828.93455113017,317.5037515805274
8.0,7.0,-2253812.0,-750297.0,299999.9999999999,378.9995782104062
4.0,6.0,-815611.0,-1268249.0,300000.0,86.80751886403931
9.0,7.0,-2918695.0,-2157035.0,-311658.6666117837,573.7886178346938
1.0,2.0,-598778.0,-182208.0,84962.20010156743,475.74734490803644
3.0,6.0,-1084381.0,-1784511.0,-127322.06736732717,523.0380261533994
7.0,0.0,-1473302.0,234598.0,300000.0,317.5037515805274
7.0,5.0,-1963832.0,-797500.0,300000.0,86.80751886403931
8.0,7.0,-3558524.0,-1024800.0,299999.9999999999,378.9995782104062
2.0,9.0,378851.0,-2954665.0,300000.0,317.5037515805274
8.0,9.0,-2608494.0,-1780771.0,299999.9999999999,378.9995782104062
7.0,9.0,-2654702.0,-3890510.0,300000.0,475.74734490803644
2.0,1.0,279.0,-374345.0,205066.37827742228,317.5037515805274
0.0,6.0,221775.0,-969225.0,300000.0,475.74734490803644
8.0,5.0,-1948652.0,-879465.0,300000.0,86.80751886403931
1.0,3.0,-155049.0,-367995.0,300000.0,86.80751886403931
8.0,9.0,-1524394.0,-3322221.0,299999.9999999999,378.9995782104062
3.0,8.0,-990319.0,-2823316.0,266965.2716727336,429.0224458086538
0.0,8.0,165664.0,-1873440.0,-797239.827637537,632.0505919571066
9.0,9.0,-1785333.0,-1704704.0,300000.0,429.0224458086538
0.0,3.0,362320.0,135054.0,-1005184.472391425,632.0505919571066
4.0,4.0,-498966.0,-975387.0,-1518158.0291664524,705.5328013839551
0.0,8.0,401677.0,-1552913.0,299999.9999999999,378.9995782104062
0.0,7.0,306636.0,-1343513.0,299999.9999999999,378.9995782104062
2.0,7.0,240586.0,-2508948.0,155848.45820829226,429.0224458086538
0.0,0.0,24071.0,-110655.0,300000.0,523.0380261533994
3.0,8.0,-727156.0,-1860507.0,300000.0,429.0224458086538
9.0,0.0,-2969336.0,154496.0,300000.0,86.80751886403931
8.0,9.0,-1404873.0,-2141805.0,299999.9999999999,378.9995782104062
5.0,5.0,-741700.0,-1443338.0,300000.0,317.5037515805274
5.0,5.0,42430.0,-1627962.0,300000.0,317.5037515805274
9.0,8.0,-3815372.0,-2759505.0,-1203490.3997492082,705.5328013839551
3.0,4.0,-1790.0,-697821.0,300000.0,86.80751886403931
2.0,0.0,-347606.0,237207.0,182876.8722942376,429.0224458086538
1.0,1.0,-7754.0,-166668.0,165715.97446189146,429.0224458086538
1.0,0.0,-586.0,253316.0,300000.0,523.0380261533994
0.0,6.0,291669.0,-2110200.0,300000.0,475.74734490803644
6.0,6.0,-770691.0,-1011944.0,-534288.6503316448,573.7886178346938
8.0,4.0,-2574392.0,-1562656.0,104383.77821862884,523.0380261533994
4.0,1.0,-1192299.0,-115063.0,-417235.7722933673,573.7886178346938
1.0,0.0,-36682.0,-75144.0,300000.0,523.0380261533994
5.0,0.0,-694639.0,497113.0,-301904.26010859385,573.7886178346938
5.0,7.0,-2089638.0,-2785069.0,-300182.8942550898,573.7886178346938
7.0,8.0,-1758411.0,-2142714.0,300000.0,317.5037515805274
2.0,4.0,-664167.0,-607817.0,300000.0,475.74734490803644
1.0,7.0,-399056.0,-2373336.0,272802.0226400234,523.0380261533994
8.0,0.0,-2222777.0,251260.0,-34518.76419762662,573.7886178346938
3.0,4.0,-344496.0,72554.0,300000.0,86.80751886403931
3.0,0.0,34734.0,195981.0,300000.0,475.74734490803644
9.0,9.0,-1839095.0,-3349927.0,300000.0,429.0224458086538
8.0,6.0,-2213187.0,-2002557.0,-120013.26825499604,573.7886178346938
